ID,UQNO,Q12Gender,Q13Age,Q14Population,Q15Mothaliv,Q16Mothparthh,Q17Fathaliv,Q18Fathparthh,Q19G_Parparthh,Q22Attend,Q23Eduinst,Q24AGE_GR1,Q25Miss_Day,Q26Miss_Rsn,Q27Daysabsent,Q28Everattend,Q51EXTRAWORK_W,Q51TIME,Q52ABEG_LSTW,Q52BBEG_LSTYR,Q53AFARMWRK_Y,Q53BFETCHWATER_Y,Q53CFETCHWOOD_Y,Q53DPRODHHGDS_Y,Q53ECONSTRUC_Y,Q53FCATCHFOOD_Y,Q54TIME,Q71HHTASKS,Q72TIME,Q741AFTERSCH,Q742BEFORESCH,Q743WEEKEND,Q75SCHOOL_CHORES,Q76TIME,Q77DIFF,Q78BSUBCODE,Stratum
12058,799150640000015616,1,7,1,1,1,1,2,2,1,2.0,7.0,1.0,1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,2.0,1.0,2.0,1.0,2,0.0,2,Life Skills,78105
12059,961101960000013440,1,12,1,1,1,1,1,2,1,2.0,6.0,2.0,-1.0,1.0,1,1,1.0,2,2,2,1,2,2,2,2,30.0,1,2.0,1.0,2.0,2.0,1,1.0,2,Natural Sciences,90205
12060,799151010000006784,1,12,1,1,1,1,2,1,1,2.0,7.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,2,0.0,2.0,2.0,1.0,2,0.0,2,English First Additional Language,78107
12062,760112640000016256,1,10,1,1,1,1,2,2,1,2.0,6.0,2.0,-1.0,3.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,2,0.0,2.0,2.0,2.0,2,0.0,2,English First Additional Language,70102
12063,874104640000020352,2,12,1,1,1,1,1,1,1,2.0,7.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,1.0,1.0,2.0,1.0,1,1.0,2,Mathematics,80208
12064,677107210000012032,1,7,1,1,1,1,1,2,1,2.0,6.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,2,0.0,2.0,2.0,2.0,2,0.0,2,English First Additional Language,60104
12065,566100310000002880,1,12,1,1,1,1,2,1,1,2.0,7.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,4.0,1.0,2.0,1.0,1,1.0,2,Social Sciences,50212
12066,871103580000002048,2,15,1,1,1,1,2,2,1,2.0,7.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,4.0,1.0,2.0,1.0,2,0.0,2,English First Additional Language,80208
12067,599141650000017280,1,14,1,1,1,2,2,1,1,2.0,6.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,3.0,1.0,2.0,1.0,2,0.0,2,Geography,55102
12068,872102450000001536,1,10,1,1,1,1,1,2,1,2.0,6.0,1.0,1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,1.0,2.0,2.0,1.0,1,1.0,2,English First Additional Language,80103
12069,596101190000015488,1,10,1,1,1,1,2,2,1,2.0,6.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,2.0,1.0,2.0,1.0,2,0.0,2,IsiXhosa Home Language,50301
12071,499109830000005312,2,11,1,1,1,1,1,2,1,2.0,6.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,1.0,1.0,2.0,1.0,1,1.0,2,Sesotho Home Language,44101
12072,797121950000009856,1,9,1,1,2,1,1,1,1,2.0,6.0,2.0,-1.0,1.0,1,2,0.0,1,2,2,2,2,2,2,2,0.0,1,1.0,1.0,2.0,2.0,2,0.0,2,,76105
12073,466100380000007296,2,7,1,1,1,1,2,2,1,2.0,7.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,0.0,1.0,2.0,1.0,1,0.0,2,English First Additional Language,40105
12075,665102020000004480,2,12,1,1,1,1,2,2,1,2.0,7.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,2,0.0,2.0,2.0,2.0,2,0.0,2,Social Sciences,60202
12077,371100810000001728,1,16,2,1,2,1,2,2,2,-1.0,,,-1.0,,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,5.0,,,,2,0.0,2,,30101
12078,271103580000007808,2,8,1,1,1,1,2,2,1,2.0,6.0,2.0,-1.0,1.0,1,1,3.0,2,2,1,1,1,2,2,2,52.0,1,3.0,2.0,2.0,1.0,1,1.0,2,Life Orientation,20206
12079,199136430000001312,1,12,2,1,1,1,2,2,1,2.0,6.0,1.0,1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,5.0,1.0,1.0,1.0,2,0.0,2,Geography,11113
12080,199148050000025888,2,17,2,1,1,2,2,2,1,2.0,6.0,1.0,1.0,3.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,7.0,1.0,1.0,1.0,2,0.0,2,Business Studies,11113
12081,599106890000011520,2,8,1,1,1,1,1,2,1,2.0,7.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,2,0.0,2.0,2.0,2.0,2,0.0,2,Accounting,55105
12082,974105790000000256,2,11,1,1,1,1,1,2,1,2.0,7.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,1,2,2,2,3.0,1,2.0,1.0,2.0,1.0,2,0.0,2,Mathematics,90203
12084,877108560000002944,2,13,1,1,1,1,2,2,1,2.0,6.0,2.0,-1.0,1.0,1,1,1.0,2,2,2,2,1,2,2,2,1.0,1,7.0,1.0,2.0,1.0,1,1.0,2,Mathematics,80204
12085,974105960000008960,2,7,1,1,2,1,2,1,1,2.0,6.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,2.0,2.0,2.0,2.0,2,0.0,2,Life Skills,90210
12086,877106740000006400,1,9,1,1,1,1,2,2,1,2.0,7.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,2,0.0,2.0,2.0,2.0,2,0.0,1,English First Additional Language,80202
12087,799126900000027648,1,14,1,1,1,1,1,2,1,2.0,7.0,2.0,-1.0,3.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,2.0,1.0,1.0,1.0,2,0.0,2,Physical Sciences,78106
12089,965102870000020992,1,15,1,1,1,1,1,2,1,2.0,6.0,1.0,1.0,4.0,1,2,0.0,2,2,2,1,1,2,2,2,6.0,1,12.0,1.0,1.0,1.0,1,1.0,1,Mathematics,90212
12090,873102160000011264,1,13,1,1,2,1,2,1,1,2.0,6.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,1.0,2.0,1.0,1.0,1,1.0,2,Mathematics,80201
12091,383102160000014720,2,8,1,1,2,1,2,2,1,2.0,6.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,2,0.0,2.0,2.0,2.0,2,0.0,2,Mathematics,30103
12092,969101970000014592,1,13,1,1,2,1,2,1,1,2.0,7.0,2.0,-1.0,2.0,1,1,4.0,2,2,1,1,2,2,2,2,39.0,1,6.0,1.0,2.0,1.0,1,3.0,1,Sepedi Home Language,90213
12093,798165100000008320,1,15,1,1,1,1,1,2,1,2.0,7.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,1.0,1.0,2.0,1.0,1,1.0,2,Mathematics,77102
12095,199122810000030592,1,15,1,1,1,1,2,1,1,2.0,7.0,1.0,1.0,2.0,1,1,2.0,2,2,2,1,2,2,2,2,48.0,1,3.0,1.0,2.0,1.0,2,0.0,1,Geography,11107
12096,968109640000002432,2,8,1,1,1,1,2,1,1,2.0,6.0,1.0,1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,2,0.0,2.0,2.0,2.0,2,0.0,2,English First Additional Language,90201
12097,962103370000009088,1,8,1,1,1,1,2,2,1,2.0,6.0,1.0,13.0,3.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,1.0,1.0,2.0,1.0,1,1.0,2,Xitsonga Home Language,90205
12098,798124710000025728,2,11,1,1,1,1,2,2,1,2.0,6.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,2,0.0,2.0,2.0,2.0,2,0.0,2,Mathematics,77116
12099,660101620000018304,1,15,1,1,1,2,2,2,1,2.0,6.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,2,0.0,2.0,2.0,2.0,2,0.0,2,Life Orientation,60201
12100,167100390000011904,2,11,4,1,1,1,1,2,1,2.0,7.0,1.0,1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,1.0,2.0,2.0,2.0,2,0.0,2,Natural Sciences,10102
12102,664102600000012160,1,7,1,1,1,1,2,2,1,2.0,7.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,2,0.0,1.0,2.0,1.0,2,0.0,1,Dramatic Arts,60401
12103,199120810000013888,2,17,2,1,1,1,2,2,1,2.0,7.0,2.0,-1.0,4.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,2.0,1.0,2.0,1.0,2,0.0,2,Afrikaans First Additional Language,11113
12105,599132030000005248,2,13,3,1,1,1,1,2,1,2.0,7.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,2,0.0,2.0,2.0,2.0,2,0.0,2,English First Additional Language,55105
12106,576101860000009920,2,11,1,1,1,1,2,2,1,2.0,7.0,2.0,-1.0,2.0,1,1,11.0,2,2,2,1,1,2,2,2,11.0,1,4.0,1.0,2.0,1.0,1,1.0,1,Natural Sciences,50202
12107,797147900000019840,2,11,1,1,1,1,2,1,1,2.0,6.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,2,0.0,2.0,2.0,2.0,1,1.0,2,English First Additional Language,76109
12108,667102640000002176,2,9,1,1,1,1,2,2,1,2.0,6.0,1.0,14.0,3.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,2,0.0,2.0,2.0,2.0,2,0.0,2,English First Additional Language,60205
12110,668102490000017792,2,16,1,1,2,1,2,1,1,2.0,5.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,2.0,1.0,2.0,1.0,2,0.0,2,History,60205
12111,293101580000011584,2,7,1,1,1,1,1,1,1,2.0,7.0,1.0,4.0,3.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,3.0,2.0,2.0,1.0,2,0.0,2,Mathematics,20210
12112,361101900000023424,2,15,1,1,1,1,2,2,1,2.0,6.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,1,2,2,2,2,1.0,2,0.0,2.0,2.0,2.0,2,0.0,2,Mathematics,30401
12113,538100690000013184,1,13,1,1,1,1,2,1,1,2.0,7.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,5.0,1.0,2.0,1.0,1,1.0,2,English First Additional Language,50212
12114,677105670000006656,2,17,1,1,1,1,1,2,1,2.0,6.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,3.0,1.0,2.0,1.0,2,0.0,2,Mathematics,60107
12115,297103380000021696,1,15,1,1,1,1,2,2,1,2.0,7.0,2.0,-1.0,2.0,1,1,1.0,2,2,2,1,2,2,2,2,1.0,1,2.0,1.0,2.0,1.0,2,0.0,2,English First Additional Language,20211
12116,361100930000008000,2,12,1,1,1,1,2,2,1,2.0,6.0,1.0,1.0,2.0,1,1,1.0,2,2,2,1,2,2,2,2,2.0,1,0.0,1.0,2.0,1.0,2,0.0,2,Setswana Home Language,30201
12117,974102210000018944,2,13,1,1,2,1,2,2,1,2.0,7.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,4.0,1.0,2.0,1.0,2,0.0,2,Natural Sciences,90102
12120,665100650000000256,1,10,1,2,2,1,2,2,1,2.0,6.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,5.0,1.0,2.0,1.0,1,3.0,2,Mathematics,60202
12121,294107590000027520,1,8,1,1,2,1,2,1,1,2.0,6.0,1.0,4.0,2.0,1,1,12.0,2,2,1,1,1,2,2,1,18.0,1,6.0,1.0,2.0,1.0,2,0.0,2,Life Orientation,20201
12122,588100520000014464,2,7,1,1,1,1,2,2,1,2.0,6.0,1.0,1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,2,0.0,2.0,2.0,2.0,2,0.0,2,Numeracy,50215
12123,598100250000006400,2,15,1,1,2,1,2,2,1,2.0,6.0,1.0,10.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,2.0,1.0,2.0,1.0,2,0.0,2,Mathematics,50203
12124,798146070000017920,2,16,4,1,1,1,1,2,1,2.0,6.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,6.0,2.0,2.0,1.0,2,0.0,2,English First Additional Language,77111
12125,798119870000010240,1,9,1,1,1,2,2,2,1,2.0,7.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,1.0,1.0,1.0,1.0,2,0.0,2,Life Skills,77104
12126,798142070000003584,2,8,2,1,2,1,1,1,1,2.0,6.0,2.0,-1.0,1.0,1,2,0.0,1,1,2,2,2,2,2,2,0.0,1,1.0,1.0,2.0,1.0,2,0.0,2,Mathematics,77112
12128,499105500000006528,2,14,1,1,1,2,2,2,1,2.0,7.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,3.0,2.0,2.0,1.0,2,0.0,2,Life Orientation,44101
12129,470101820000013120,1,9,1,1,2,2,2,2,1,2.0,7.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,1.0,2.0,2.0,1.0,2,0.0,2,English First Additional Language,40102
12130,285101180000005792,2,9,1,1,1,1,1,2,1,2.0,6.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,3.0,2.0,2.0,1.0,1,0.0,2,IsiXhosa Home Language,20102
12131,666100140000012672,2,7,1,1,2,1,2,2,1,2.0,6.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,2,0.0,2.0,2.0,2.0,2,0.0,2,Mathematics,60107
12132,874109400000001024,1,7,1,1,1,1,1,2,1,2.0,6.0,1.0,13.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,1.0,1.0,2.0,1.0,1,0.0,2,English First Additional Language,80208
12133,871100340000017152,1,13,1,1,1,1,1,2,1,2.0,7.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,1.0,2.0,2.0,1.0,1,1.0,2,Mathematics,80108
12134,384100020000012032,2,16,2,1,2,1,2,1,2,-1.0,,,-1.0,,1,2,0.0,2,2,2,1,2,2,2,2,0.0,1,0.0,,,,2,0.0,2,,30301
12135,575101360000014592,2,8,1,1,1,1,1,2,1,2.0,6.0,2.0,-1.0,1.0,1,1,1.0,2,2,2,1,2,2,2,2,1.0,1,1.0,1.0,2.0,1.0,1,2.0,2,Mathematics,50209
12136,504100580000011072,1,15,1,1,2,2,2,1,1,2.0,6.0,2.0,-1.0,2.0,1,2,0.0,2,2,1,1,1,2,2,2,2.0,1,2.0,1.0,2.0,1.0,1,1.0,2,English First Additional Language,50218
12137,872102450000015360,2,8,1,1,1,1,1,2,1,2.0,7.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,1.0,2.0,2.0,1.0,1,1.0,2,Life Orientation,80103
12138,799102100000019968,2,15,1,2,2,1,1,2,1,2.0,6.0,1.0,13.0,3.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,4.0,1.0,2.0,1.0,2,0.0,2,Life Orientation,78113
12139,260102420000006400,1,7,1,1,1,1,1,2,1,2.0,7.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,1,2,2,2,2,0.0,2,0.0,2.0,2.0,2.0,2,0.0,2,Mathematics,22104
12140,567100800000013120,2,9,1,1,1,1,2,1,1,2.0,6.0,2.0,-1.0,3.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,1.0,1.0,2.0,1.0,2,0.0,1,English First Additional Language,50217
