ID,UQNO,Q12Gender,Q13Age,Q14Population,Q15Mothaliv,Q16Mothparthh,Q17Fathaliv,Q18Fathparthh,Q19G_Parparthh,Q22Attend,Q23Eduinst,Q24AGE_GR1,Q25Miss_Day,Q26Miss_Rsn,Q27Daysabsent,Q28Everattend,Q51EXTRAWORK_W,Q51TIME,Q52ABEG_LSTW,Q52BBEG_LSTYR,Q53AFARMWRK_Y,Q53BFETCHWATER_Y,Q53CFETCHWOOD_Y,Q53DPRODHHGDS_Y,Q53ECONSTRUC_Y,Q53FCATCHFOOD_Y,Q54TIME,Q71HHTASKS,Q72TIME,Q741AFTERSCH,Q742BEFORESCH,Q743WEEKEND,Q75SCHOOL_CHORES,Q76TIME,Q77DIFF,Q78BSUBCODE,Child_Labour,Stratum
5,538102900000044288,Male,7,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,7.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,2.0,Yes,No,Yes,No,0.0,No,IsiZulu Home Language,No,50204
8970,538102900000044288,Female,10,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,0.0,Yes,No,Yes,Yes,1.0,No,Mathematics,Yes,50204
10229,538102900000044288,Female,10,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,1.0,Yes,No,Yes,Yes,1.0,No,Life Orientation,Yes,50204
6,295102730000003008,Female,16,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,7.0,No,Not_Absent,1 to 4 days,Yes,Yes,1.0,No,No,No,Yes,No,No,No,No,0.0,Yes,0.0,Yes,No,Yes,No,0.0,No,Geography,No,20206
5335,295102730000003008,Female,7,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,6.0,No,Not_Absent,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,15.0,Yes,1.0,Yes,No,Yes,No,0.0,Yes,English First Additional Language,No,20206
6299,295102730000003008,Female,10,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,Yes,No,No,No,No,0.0,Yes,2.0,Yes,No,Yes,No,0.0,No,English First Additional Language,No,20206
10487,295102730000003008,Male,16,African/Black,Yes,No,Yes,No,No,Yes,Pre-school,,No,Not_Absent,1 to 4 days,Yes,Yes,2.0,No,No,No,Yes,No,No,No,No,0.0,Yes,2.0,Yes,No,Yes,No,0.0,No,IsiXhosa Home Language,No,20206
7,798106040000003072,Male,16,African/Black,Yes,No,Yes,Yes,No,Yes,Primary or secondary school,5.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,1.0,No,No,Yes,No,0.0,No,English First Additional Language,No,77106
3216,798106040000003072,Female,7,African/Black,Yes,No,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,No,1.0,No,No,No,No,0.0,No,Life Skills,No,77106
8622,798106040000003072,Male,15,African/Black,Yes,No,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,1.0,Yes,0.0,No,No,No,No,0.0,No,IsiZulu Home Language,No,77106
8,378101230000009984,Female,13,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,7.0,No,Not_Absent,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,3.0,Yes,1.0,Yes,No,Yes,Yes,1.0,No,English First Additional Language,No,30101
9,472102870000025728,Female,7,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,No,1.0,No,No,No,No,0.0,No,Life Skills,No,40101
2915,472102870000025728,Male,9,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,1.0,Yes,No,Yes,No,0.0,Yes,Life Skills,No,40101
7835,472102870000025728,Male,16,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,Not_Absent,5 to 9 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,1.0,Yes,No,Yes,Yes,1.0,Yes,Life Orientation,No,40101
8046,472102870000025728,Female,13,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,Not_Absent,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,0.0,Yes,No,Yes,Yes,2.0,No,English First Additional Language,No,40101
10,764102220000001664,Female,15,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,0.0,Yes,No,Yes,No,0.0,Yes,Economic Management Sciences,No,70108
10281,764102220000001664,Female,14,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,7.0,No,Not_Absent,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,7.0,Yes,No,Yes,Yes,2.0,Yes,Technology,No,70108
11,799112850000001792,Female,11,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,Not_Absent,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,0.0,Yes,No,Yes,Yes,1.0,No,English First Additional Language,No,78103
11308,799112850000001792,Male,16,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,6.0,No,Not_Absent,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,0.0,Yes,No,Yes,Yes,1.0,No,Life Sciences,No,78103
12,260112870000012512,Male,9,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,6.0,Yes,Illness,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,20.0,Yes,2.0,Yes,No,Yes,No,0.0,No,Mathematics,No,22102
13,499107380000018880,Female,14,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,7.0,No,Not_Absent,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,3.0,Yes,No,Yes,No,0.0,Yes,Sesotho Home Language,No,44102
15,271108510000006208,Female,12,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,7.0,No,Not_Absent,0 days,Yes,Yes,2.0,No,No,No,Yes,No,No,No,No,0.0,Yes,0.0,No,No,Yes,Yes,1.0,No,IsiXhosa Home Language,No,20204
5999,271108510000006208,Female,11,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,7.0,No,Not_Absent,0 days,Yes,Yes,2.0,No,No,No,Yes,No,No,No,No,0.0,Yes,4.0,No,No,Yes,Yes,1.0,No,IsiXhosa Home Language,No,20204
11057,271108510000006208,Male,12,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,7.0,No,Not_Absent,0 days,Yes,Yes,1.0,No,No,No,Yes,No,No,No,No,2.0,Yes,2.0,No,No,Yes,Yes,1.0,No,IsiXhosa Home Language,No,20204
16,797101730000025856,Male,16,African/Black,Yes,No,Yes,Yes,Yes,Yes,Primary or secondary school,7.0,Yes,Illness,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,0.0,Yes,No,Yes,No,0.0,No,Mathematics,No,76102
17,797137450000011904,Female,11,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,Not_Absent,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,3.0,Yes,No,Yes,Yes,1.0,No,Life Skills,No,76107
1685,797137450000011904,Female,15,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,Not_Absent,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,1.0,Yes,No,Yes,Yes,1.0,No,Dramatic Arts,No,76107
6601,797137450000011904,Male,12,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,Not_Absent,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,2.0,Yes,No,Yes,Yes,2.0,No,English First Additional Language,No,76107
18,299115290000008192,Male,11,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,7.0,Yes,Illness,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,0.0,No,No,Yes,Yes,1.0,Yes,English First Additional Language,No,23103
4032,299115290000008192,Male,10,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,7.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,5.0,No,0.0,No,No,Yes,Yes,0.0,Yes,English First Additional Language,No,23103
7768,871100370000001664,Female,11,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,3.0,Yes,0.0,No,No,Yes,Yes,1.0,No,IsiNdebele Home Language,No,80205
20,361101260000010496,Male,14,African/Black,Yes,No,Yes,No,No,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,Yes,No,No,No,No,8.0,No,4.0,No,No,No,No,0.0,Yes,Life Orientation,No,30201
260,361101260000010496,Female,11,African/Black,Yes,No,Yes,No,No,Yes,Primary or secondary school,6.0,No,Not_Absent,1 to 4 days,Yes,No,0.0,No,No,No,Yes,No,No,No,No,0.0,Yes,8.0,No,No,Yes,No,0.0,No,Life Orientation,No,30201
1135,361101260000010496,Male,11,African/Black,Yes,No,Yes,No,No,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,Yes,No,No,No,No,45.0,No,3.0,No,No,No,No,0.0,No,Life Orientation,No,30201
3779,361101260000010496,Female,10,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,6.0,No,Not_Absent,1 to 4 days,Yes,No,0.0,No,No,No,Yes,No,No,No,No,5.0,No,12.0,No,No,No,No,0.0,No,English First Additional Language,No,30201
3885,361101260000010496,Male,13,African/Black,Yes,No,Yes,No,No,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,Yes,No,No,No,No,0.0,No,1.0,No,No,No,No,0.0,No,Physical Sciences,No,30201
9092,361101260000010496,Female,14,African/Black,Yes,No,Yes,No,No,Yes,Primary or secondary school,6.0,No,Not_Absent,1 to 4 days,Yes,No,0.0,No,No,No,Yes,No,No,No,No,0.0,Yes,0.0,No,No,Yes,No,0.0,Yes,Physical Sciences,No,30201
11996,361101260000010496,Female,9,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,6.0,No,Not_Absent,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,No,2.0,No,No,No,No,0.0,Yes,Mathematics,No,30201
21,986100890000010368,Female,13,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,Yes,Illness,1 to 4 days,Yes,Yes,2.0,No,No,No,Yes,Yes,No,No,No,6.0,Yes,4.0,Yes,No,Yes,Yes,1.0,No,Sepedi Home Language,No,90210
22,871100340000004736,Male,14,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,Not_Absent,1 to 4 days,Yes,Yes,1.0,No,No,No,Yes,No,No,No,No,0.0,Yes,0.0,Yes,No,No,Yes,1.0,No,IsiZulu Home Language,No,80108
23,797149470000010496,Male,8,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,Yes,Injury,10 to 19 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,1.0,Yes,No,Yes,No,0.0,No,English First Additional Language,No,76109
7657,797149470000010496,Female,15,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,8.0,Yes,14.0,Yes,No,Yes,Yes,1.0,No,Mathematics,No,76109
24,987100960000001408,Male,9,African/Black,Yes,Yes,Yes,Yes,Yes,Yes,Primary or secondary school,7.0,No,Not_Absent,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,0.0,No,No,Yes,Yes,1.0,Yes,Arts & Culture,No,90216
25,797144310000003328,Male,9,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,7.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,No,0.0,No,No,No,No,0.0,No,English First Additional Language,No,76106
2308,797144310000003328,Male,12,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,No,0.0,No,No,No,No,0.0,No,Mathematics,No,76106
7189,797144310000003328,Male,15,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,7.0,No,Not_Absent,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,4.0,Yes,No,Yes,No,0.0,No,Life Orientation,No,76106
26,199125350000013504,Male,7,Coloured,Yes,No,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,No,0.0,No,No,No,No,0.0,No,English First Additional Language,No,11108
27,588100560000027776,Male,10,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,2.0,Yes,No,Yes,No,0.0,No,Social Sciences,No,50214
1372,588100560000027776,Male,10,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,0.0,Yes,No,Yes,No,0.0,No,IsiZulu Home Language,No,50214
3634,588100560000027776,Male,13,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,Yes,Illness,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,3.0,Yes,No,Yes,No,0.0,No,English First Additional Language,No,50214
4736,588100560000027776,Male,8,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,8.0,Yes,No,Yes,No,0.0,No,English First Additional Language,No,50214
28,677101210000007168,Female,17,African/Black,Yes,Yes,Yes,Yes,Yes,Yes,Primary or secondary school,7.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,0.0,Yes,No,Yes,Yes,0.0,No,Mathematics,No,60107
10088,677101210000007168,Male,11,African/Black,Yes,No,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,1.0,Yes,No,Yes,Yes,0.0,No,Setswana Home Language,No,60107
1042,982105430000013568,Male,14,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,5.0,Yes,Illness,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,No,14.0,No,No,No,Yes,1.0,No,Life Sciences,No,90215
1624,982105430000013568,Male,7,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,No,0.0,No,No,No,Yes,1.0,No,Mathematics,No,90215
2247,982105430000013568,Female,12,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,5.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,9.0,No,2.0,No,No,No,Yes,1.0,No,Sepedi Home Language,No,90215
3096,982105430000013568,Male,7,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,6.0,Yes,Illness,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,No,2.0,No,No,No,Yes,1.0,No,Mathematics,No,90215
10223,982105430000013568,Female,9,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,6.0,Yes,Illness,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,No,10.0,No,No,No,Yes,1.0,No,English First Additional Language,No,90215
30,504100580000008128,Male,13,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,5.0,No,Not_Absent,1 to 4 days,Yes,No,0.0,No,No,Yes,Yes,Yes,No,No,Yes,0.0,Yes,0.0,Yes,No,Yes,Yes,2.0,No,Social Sciences,Yes,50218
766,504100580000008128,Female,16,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,5.0,No,Not_Absent,1 to 4 days,Yes,Yes,1.0,No,No,Yes,Yes,Yes,No,No,No,0.0,Yes,3.0,Yes,No,Yes,No,0.0,No,Natural Sciences,No,50218
779,504100580000008128,Female,11,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,5.0,No,Not_Absent,0 days,Yes,Yes,1.0,No,No,Yes,Yes,Yes,No,No,No,0.0,Yes,0.0,Yes,No,Yes,Yes,2.0,No,Life Skills,No,50218
2905,504100580000008128,Male,8,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,5.0,No,Not_Absent,0 days,Yes,Yes,1.0,No,No,Yes,Yes,Yes,No,No,No,2.0,Yes,1.0,Yes,No,Yes,Yes,1.0,No,English First Additional Language,No,50218
2951,504100580000008128,Male,9,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,5.0,No,Not_Absent,0 days,Yes,Yes,1.0,No,No,Yes,Yes,Yes,No,No,No,1.0,Yes,4.0,Yes,No,Yes,Yes,1.0,No,English First Additional Language,No,50218
9018,504100580000008128,Female,10,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,5.0,No,Not_Absent,0 days,Yes,Yes,1.0,No,No,Yes,Yes,Yes,No,No,No,0.0,Yes,0.0,Yes,No,Yes,Yes,4.0,No,English First Additional Language,No,50218
31,799140540000004992,Female,14,African/Black,Yes,No,No,No,No,Yes,Primary or secondary school,6.0,No,Not_Absent,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,1.0,No,No,Yes,No,0.0,Yes,Economic Management Sciences,No,78105
4593,799140540000004992,Male,11,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,Not_Absent,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,6.0,No,No,Yes,Yes,1.0,No,English First Additional Language,No,78105
32,797131790000005632,Male,13,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,Not_Absent,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,3.0,Yes,No,Yes,No,0.0,No,Mathematics,No,76101
33,592103620180001152,Male,16,African/Black,Yes,Yes,No,No,Yes,Yes,Primary or secondary school,5.0,Yes,Illness,1 to 4 days,Yes,No,0.0,No,No,Yes,Yes,No,No,No,No,0.0,Yes,2.0,Yes,No,Yes,Yes,0.0,No,Mathematics,No,50109
1197,199138610000022112,Female,10,Coloured,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,0.0,No,No,Yes,Yes,2.0,Yes,Life Orientation,No,11113
35,799102100000036352,Female,9,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,7.0,No,Not_Absent,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,No,1.0,No,No,No,No,0.0,No,Mathematics,No,78113
36,467103780000012096,Female,13,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,Yes,Illness,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,6.0,No,No,No,No,0.0,No,Technology,No,40101
37,976102440000014464,Female,16,African/Black,Yes,No,Yes,No,Yes,Yes,Primary or secondary school,7.0,No,Not_Absent,1 to 4 days,Yes,Yes,2.0,No,No,Yes,No,No,No,No,No,0.0,Yes,3.0,Yes,No,Yes,Yes,1.0,Yes,Life Orientation,No,90215
493,976102440000014464,Male,14,African/Black,Yes,No,Yes,No,Yes,Yes,Primary or secondary school,7.0,Yes,Injury,5 to 9 days,Yes,No,0.0,No,No,Yes,No,No,No,No,No,0.0,Yes,0.0,Yes,No,Yes,No,0.0,Yes,Sepedi Home Language,No,90215
11063,976102440000014464,Male,17,African/Black,Yes,No,Yes,No,Yes,Yes,Primary or secondary school,7.0,No,Not_Absent,0 days,Yes,Yes,2.0,No,No,Yes,No,No,No,No,No,0.0,Yes,0.0,Yes,No,No,Yes,1.0,Yes,Dramatic Arts,No,90215
11175,976102440000014464,Female,8,African/Black,Yes,No,Yes,No,Yes,Yes,Primary or secondary school,6.0,Yes,Illness,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,10.0,Yes,4.0,Yes,No,Yes,No,0.0,No,Mathematics,No,90215
39,271102830000013088,Female,10,African/Black,Yes,No,Yes,No,Yes,Yes,Primary or secondary school,7.0,Yes,"Other, specify",1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,2.0,No,No,Yes,Yes,1.0,No,English First Additional Language,No,20220
40,760110090000002560,Female,10,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,Yes,Injury,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,1.0,Yes,No,Yes,No,0.0,No,Sesotho Home Language,No,70108
7787,760110090000002560,Male,14,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,0.0,Yes,No,Yes,No,0.0,No,Mathematics,No,70108
41,168100800000073312,Male,10,Coloured,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,7.0,Yes,Illness,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,0.0,No,No,Yes,No,0.0,No,Mathematics,No,10101
5103,168100800000073312,Male,12,Coloured,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,Yes,Illness,5 to 9 days,Yes,Yes,2.0,No,No,No,Yes,No,No,No,No,0.0,Yes,2.0,Yes,No,Yes,No,0.0,No,Natural Sciences,No,10101
1754,962100790000010624,Female,11,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,1.0,Yes,No,Yes,No,0.0,No,English First Additional Language,No,90215
43,270104020000002208,Female,8,African/Black,Yes,No,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,Yes,Yes,No,No,No,No,0.0,No,4.0,No,No,No,No,0.0,No,English First Additional Language,No,20216
2598,270104020000002208,Female,10,African/Black,Yes,No,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,Yes,Yes,No,No,No,No,0.0,Yes,0.0,No,No,No,No,0.0,No,English First Additional Language,No,20216
10547,270104020000002208,Male,13,African/Black,Yes,No,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,Yes,9.0,No,No,Yes,Yes,Yes,No,Yes,No,0.0,Yes,0.0,Yes,Yes,Yes,No,0.0,No,IsiXhosa Home Language,No,20216
44,199155860000021088,Male,16,White,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,No,0.0,No,No,No,No,0.0,No,Mathematics,No,11106
